,修課學年,修課學期,學號_id,姓名_id,學院名稱,系所名稱,班級名稱,授課班級碼,授課班級,課號,課程編碼,課程名稱,教師員編,授課教師,課程類別,必選修別,學分數,選課狀況
171,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304057,3604075,無線通訊概論,11991,陳維昌,★,選,3.0,
172,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304807,3602061,計算機結構,12376,郭宏源,★,選,3.0,
173,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305327,3602007,電子學(一),11391,王多柏,▲,必,3.0,
174,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2883,博雅課程(十),310077,1410106,媒體與社會,23919,郭耀中,△,必,2.0,
175,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304802,3603005,通訊系統實習,10551,曾德樟,▲,必,1.0,撤選
176,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2884,博雅課程(十一),310083,1410175,婚姻與家庭,22686,陳小英,△,必,2.0,
177,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2424,電子四乙,304057,3604075,無線通訊概論,11991,陳維昌,★,選,3.0,
178,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305329,3602012,電路學(一),11678,陳晏笙,▲,必,3.0,
179,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2423,電子四甲,304057,3604075,無線通訊概論,11991,陳維昌,★,選,3.0,
180,111,1,29.0,496.0,電資學院,電子工程系,電子四乙,2423,電子四甲,314960,3601058,實務校外實習(一),,,★,選,3.0,
181,111,1,30.0,687.0,電資學院,電子工程系,電子四乙,2788,電子一甲,305825,1400102,大學入門與工程倫理,11984,黃柏鈞,△,必,1.0,
182,111,1,30.0,687.0,電資學院,電子工程系,電子四乙,2647,博雅課程(二),309979,1411002,文學概論,10375,葉惠蘭,△,必,2.0,
183,111,1,30.0,687.0,電資學院,電子工程系,電子四乙,2657,電機二丙,305194,3101082,電路學(一),10940,曾傳蘆,▲,必,3.0,
184,111,1,30.0,687.0,電資學院,電子工程系,電子四乙,2535,材資三甲,308772,3302034,電工原理,11126,王錫九,★,選,3.0,
